Code,New_Code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
00AM,E09000012,Hackney,51.49,55.88,57.37,59.7,59.83,62.65,64.64,67.55,72.12,75.46,78.48,83.09,89.43,94.42,96.49,105.39,110.95,115.58,120.24,123.55,122.84,120.01,119.13,119.7,121.41,123.4
00AN,E09000013,Hammersmith and Fulham,50.15,53.43,56.09,58.07,59.74,62.08,64.69,68.08,73.27,77.07,81.3,87.27,92.03,99.15,101.78,107.68,115.31,121.13,128.17,130.66,130.06,128.68,128.56,128.31,130.44,132.27
00AP,E09000014,Haringey,52.3,55.62,58.39,60.43,61.93,64.21,66.16,68.59,73.26,76.24,80.14,83.8,88.16,94.36,96.07,101.91,109.14,113.88,118.77,123.05,120.67,118.09,119.23,118.22,121.16,121.13
00AQ,E09000015,Harrow,54.42,59.11,63.05,64.78,66.5,69.99,68.99,72.09,77.75,82.28,83.57,91.23,96.04,102.34,105.7,112.39,119.06,125.88,130.62,137.39,134.13,130.91,132.14,130.36,133.37,135.08
00AR,E09000016,Havering,52.73,58.42,60.66,62.29,64.47,67.58,69.09,71.35,77.34,81.8,85.58,89.06,85.82,92,95.57,100.17,107.27,110.47,118.4,120.08,120.93,118.09,116.33,119.07,118.14,119.55
00AS,E09000017,Hillingdon,55.45,59.14,61.44,64.05,65.81,68.29,70.96,73.52,78.86,84.08,87.45,91.75,97.12,102.39,102.57,107.96,115.68,119.76,123.78,126.37,126.02,124.13,124.44,121.89,125,126.75
00AT,E09000018,Hounslow,57.15,61.53,65.85,67.01,66.96,69.49,70.92,73.92,78.16,81.07,84.78,89.01,93.83,99.53,100.04,106.55,113.46,118.07,123.24,126.84,125.32,124.35,123.32,122.25,125.61,127.53
00AU,E09000019,Islington,50.5,54.41,57.38,60.08,59.16,61.98,65.36,67.81,71.52,75.49,80.2,84.47,90.29,96.82,98.9,105.8,113.54,118.8,124.59,127.4,126.78,124.99,124.74,125.63,128.61,128.5
00AW,E09000020,Kensington and Chelsea,47.54,50.34,52.88,54.55,55.97,58.33,61.35,64.86,70.03,74.42,79.22,83.32,88.9,96.03,97.23,105.57,111.88,118.05,123.35,126.69,125.92,126.92,126.37,125.09,128.78,130.47
00AX,E09000021,Kingston upon Thames,53.98,60.01,60.42,61.66,62.83,66.51,68.35,71.5,80.29,83.79,87.53,92.02,97.37,103.39,104.89,111.13,118.99,124.45,129.32,132.81,131.2,130.61,127.33,127,130.28,132.33
00AY,E09000022,Lambeth,48.47,51.48,54.62,56.87,58.22,61.14,63.51,65.58,69.61,72.72,75.6,80.54,84.61,91.11,93.04,99.16,106.77,111.51,116.9,119.46,118.65,117.78,117.27,116.47,119.78,121.57
00AZ,E09000023,Lewisham,48.81,52.33,54.6,57.13,59.33,61.78,63.41,67.52,71.41,74.86,78.59,79.54,82.6,87.76,87.92,92.75,100.63,103.94,109.18,111.79,110.48,109.91,109.47,107.96,110.96,112.71
00BA,E09000024,Merton,57.49,61.35,62.92,63.9,66.78,68.7,70.44,72.94,76.79,81.28,84.42,88.05,92.95,86.75,92.61,97.1,105.01,109.76,113.38,116.11,115.12,113.69,113.27,114.3,117.14,118.85
00BB,E09000025,Newham,53.2,58.83,61.16,63.92,64.35,67.39,68.28,71.37,76.42,79.78,82.39,86.72,90.83,95.83,96.79,104.34,110,128.89,134.52,141.18,139.87,119.38,118.63,121.7,121.12,122.52
00BC,E09000026,Redbridge,56.94,62.67,65.59,67.8,67.29,71.25,73.99,74.72,81.56,83.73,87.44,91.6,98.62,103.02,103.37,108.14,114.62,124.95,129.59,132.16,131.33,124.73,124.38,122.43,125.25,126.82
00BD,E09000027,Richmond upon Thames,56.36,58.34,59.84,60.45,64.44,64.82,67.93,69.73,73.38,76.9,80.44,84.56,89.07,95.12,96.24,104.77,108.68,114.08,119.1,123.25,122.82,122.68,120.13,120.06,123.56,125.94
00BE,E09000028,Southwark,49.97,52.81,55.72,58.22,59.68,62.02,64.49,67.75,72.26,76.66,80.81,85.01,90.42,97.01,98.37,103.93,110.52,116.32,120.96,123.58,122.47,122.33,121.65,120.51,123.69,125.52
00BF,E09000029,Sutton,52.1,55.6,57.94,60.36,62.01,65.1,67.17,68.97,75.63,79.24,82.46,84.75,92.03,97.64,98.21,103.13,110.15,114.68,118.96,119.89,119.7,117.52,117.09,115.73,118.9,120.72
00BG,E09000030,Tower Hamlets,51.99,55.7,58.25,58.11,60.54,63.61,66.82,70.05,74.03,75.74,78.09,82.92,87.43,94.41,96.78,103.63,111.11,115.73,122.78,126.31,125.85,124.92,124.19,123.84,126.71,128.7
00BH,E09000031,Waltham Forest,52.1,58.59,61.62,64.63,66.78,67.85,68.94,70.85,74.27,77.61,80.4,84.3,88.73,94.14,95.46,101.79,110.27,117.86,120.6,122.91,122.04,116.74,116.49,117.35,118.32,119.66
00BJ,E09000032,Wandsworth,55.45,58.76,61.21,63.14,64.34,66.52,69.26,72.39,77.65,81.36,86.06,89.7,94.9,102.29,103.76,110.84,119.12,121.88,127.45,134.56,131.24,128.38,128.01,127.91,131.04,132.52
00BK,E09000033,Westminster,51.6,55.43,58.59,60.44,62.6,64.66,67.25,71.34,76.15,80.31,85.33,90.11,95.96,103.17,104.23,109.77,117.42,122.03,127.97,141.51,130.12,130.46,140.33,129.08,132.97,134.88
